amount,failure_reason,payment_method,customer_success_rate,previous_attempts,hours_since_failure,intervention,recovered,recovered_amount
6380.28,network_error,card,0.903,0,13.11,retry_later,1,6380.28
2175.92,insufficient_funds,upi,0.779,2,35.12,retry_now,1,2175.92
9113.88,network_error,upi,0.614,0,10.41,request_alternative_payment,0,0.0
10610.98,insufficient_funds,wallet,0.691,0,1.51,request_alternative_payment,1,10610.98
1049.81,card_declined,netbanking,0.843,0,70.94,retry_now,0,0.0
1764.19,card_declined,upi,0.706,2,11.55,request_card_update,1,1764.19
5538.43,insufficient_funds,netbanking,0.841,0,2.73,request_alternative_payment,1,5538.43
3882.36,insufficient_funds,card,0.732,1,10.72,request_card_update,0,0.0
4933.24,insufficient_funds,card,0.97,3,17.44,request_card_update,0,0.0
2526.92,insufficient_funds,upi,0.989,0,3.58,request_card_update,0,0.0
10104.25,insufficient_funds,upi,0.739,0,96.0,request_alternative_payment,0,0.0
9315.42,network_error,card,0.716,2,51.57,request_card_update,1,9315.42
5271.22,insufficient_funds,card,0.991,0,48.6,retry_later,1,5271.22
12320.09,card_declined,upi,0.86,2,2.04,retry_later,0,0.0
7267.74,insufficient_funds,card,0.721,1,7.77,request_card_update,0,0.0
2514.32,expired_card,card,0.646,3,1.3,request_alternative_payment,1,2514.32
6715.64,network_error,upi,0.792,0,23.31,request_card_update,0,0.0
2321.77,expired_card,wallet,0.479,1,22.17,request_alternative_payment,1,2321.77
10096.59,expired_card,card,0.791,3,25.73,retry_later,0,0.0
4804.23,insufficient_funds,card,0.803,1,24.06,retry_later,0,0.0
4312.63,network_error,card,0.869,0,1.33,retry_now,1,4312.63
2899.95,insufficient_funds,card,0.822,0,11.88,request_card_update,1,2899.95
13296.1,expired_card,netbanking,0.798,1,39.41,retry_later,0,0.0
4418.56,card_declined,card,0.637,1,3.31,retry_now,1,4418.56
3549.39,card_declined,card,0.482,0,17.25,request_alternative_payment,0,0.0
3772.47,expired_card,wallet,0.864,2,27.65,request_alternative_payment,0,0.0
7654.44,network_error,netbanking,0.466,0,28.69,retry_later,1,7654.44
6697.89,expired_card,card,0.558,4,1.92,retry_later,1,6697.89
6956.13,insufficient_funds,card,0.942,2,12.45,retry_later,0,0.0
7057.53,insufficient_funds,netbanking,0.725,1,14.06,retry_later,1,7057.53
27736.69,insufficient_funds,upi,0.8,2,5.35,request_card_update,0,0.0
3612.16,card_declined,wallet,0.587,0,13.57,retry_now,0,0.0
3318.93,card_declined,card,0.944,1,2.02,request_alternative_payment,1,3318.93
2607.57,insufficient_funds,netbanking,0.96,3,1.1,retry_now,0,0.0
8184.33,network_error,card,0.904,3,31.92,retry_later,1,8184.33
12337.16,insufficient_funds,card,0.883,0,0.93,retry_now,0,0.0
4564.37,network_error,netbanking,0.818,3,5.64,request_card_update,0,0.0
2553.11,expired_card,upi,0.65,1,5.53,request_alternative_payment,0,0.0
2585.33,card_declined,card,0.696,2,35.86,request_card_update,0,0.0
8414.13,card_declined,card,0.8,3,10.74,retry_later,0,0.0
9061.56,insufficient_funds,netbanking,0.891,0,7.8,retry_later,1,9061.56
7721.13,insufficient_funds,card,0.586,0,4.99,request_card_update,1,7721.13
2935.95,network_error,card,0.594,1,2.76,retry_later,1,2935.95
6020.48,card_declined,card,0.732,1,30.93,request_card_update,0,0.0
5489.22,insufficient_funds,card,0.695,1,15.72,request_alternative_payment,1,5489.22
5955.94,expired_card,netbanking,0.972,2,13.73,retry_now,0,0.0
10040.04,network_error,card,0.802,3,14.27,request_alternative_payment,0,0.0
5979.36,network_error,upi,0.729,0,18.04,retry_later,0,0.0
8606.94,card_declined,upi,0.724,4,9.01,request_card_update,0,0.0
5277.76,expired_card,card,0.748,0,58.55,retry_now,0,0.0
6301.16,insufficient_funds,upi,0.6,3,68.56,request_alternative_payment,0,0.0
8285.18,insufficient_funds,card,0.739,2,36.33,request_alternative_payment,1,8285.18
1558.48,expired_card,netbanking,0.912,2,22.29,retry_now,0,0.0
3871.73,expired_card,netbanking,0.791,3,3.41,request_card_update,0,0.0
3431.99,card_declined,netbanking,0.881,0,17.25,retry_now,1,3431.99
2999.17,insufficient_funds,card,0.494,2,3.91,retry_now,0,0.0
4012.14,insufficient_funds,netbanking,0.975,0,95.99,retry_later,0,0.0
16533.54,network_error,upi,0.577,1,9.91,request_card_update,0,0.0
2501.21,network_error,card,0.642,1,6.97,retry_now,1,2501.21
10848.87,insufficient_funds,card,0.655,1,7.08,retry_now,1,10848.87
1301.01,insufficient_funds,card,0.823,2,25.88,retry_now,1,1301.01
3824.89,network_error,card,0.785,1,15.33,request_alternative_payment,0,0.0
5695.29,network_error,card,0.574,0,7.93,request_alternative_payment,1,5695.29
7991.8,card_declined,wallet,0.957,1,6.38,request_card_update,1,7991.8
8832.33,card_declined,wallet,0.881,3,3.41,retry_now,0,0.0
9432.07,expired_card,card,0.428,2,36.83,request_card_update,0,0.0
