amount,failure_reason,payment_method,customer_success_rate,customer_tenure_days,historical_payments,historical_failed_payments,historical_recovered_payments,historical_recovery_rate,days_since_last_success,previous_attempts,hours_since_failure,payment_hour,previous_recovery_attempts,previous_recovery_success,customer_recovery_history,intervention,recovered,recovered_amount
6380.28,network_error,card,0.528,715,32,14,8,0.5714285714285714,35.56,2,43.64,7,1,1,1.0,retry_later,1,6380.28
2175.92,insufficient_funds,card,0.78,206,13,3,3,1.0,95.13,0,3.07,21,1,1,1.0,retry_now,0,0.0
9113.88,expired_card,upi,0.904,150,21,4,4,1.0,6.0,0,5.63,17,2,2,1.0,request_alternative_payment,1,9113.88
10610.98,insufficient_funds,wallet,0.389,340,14,5,2,0.4,17.16,0,20.26,14,0,0,0.0,retry_later,0,0.0
1049.81,card_declined,card,0.921,589,19,2,2,1.0,9.05,2,23.32,16,0,0,0.0,retry_later,1,1049.81
1764.19,expired_card,netbanking,0.801,714,22,6,6,1.0,8.84,0,17.97,23,3,2,0.6666666666666666,request_card_update,1,1764.19
5538.43,insufficient_funds,card,0.894,781,20,2,2,1.0,14.92,0,9.88,2,2,2,1.0,retry_later,1,5538.43
3882.36,insufficient_funds,netbanking,0.592,468,20,8,2,0.25,24.76,0,1.96,13,0,0,0.0,request_card_update,0,0.0
4933.24,expired_card,netbanking,0.659,735,17,8,7,0.875,8.5,3,9.74,11,1,1,1.0,request_alternative_payment,1,4933.24
2526.92,network_error,netbanking,0.86,200,22,3,3,1.0,33.55,3,7.08,5,0,0,0.0,request_card_update,1,2526.92
10104.25,insufficient_funds,wallet,0.772,229,22,9,4,0.4444444444444444,14.76,0,32.0,22,2,1,0.5,request_card_update,1,10104.25
9315.42,card_declined,wallet,0.883,402,4,0,0,0.0,25.56,0,19.04,0,3,2,0.6666666666666666,retry_now,1,9315.42
5271.22,insufficient_funds,wallet,0.866,534,14,1,1,1.0,29.9,4,6.29,3,0,0,0.0,request_card_update,0,0.0
12320.09,insufficient_funds,upi,0.525,368,10,3,1,0.3333333333333333,9.29,2,2.73,1,1,0,0.0,retry_later,1,12320.09
7267.74,card_declined,upi,0.63,341,20,4,4,1.0,10.59,2,9.8,17,1,0,0.0,retry_now,0,0.0
2514.32,insufficient_funds,card,0.796,414,14,2,2,1.0,9.17,1,5.66,19,0,0,0.0,request_alternative_payment,1,2514.32
6715.64,card_declined,card,0.893,459,16,0,0,0.0,76.41,0,13.45,19,1,1,1.0,retry_now,0,0.0
2321.77,insufficient_funds,upi,0.848,979,19,1,0,0.0,54.63,1,26.18,14,0,0,0.0,request_alternative_payment,0,0.0
10096.59,expired_card,card,0.707,204,16,4,3,0.75,18.32,2,47.52,5,1,1,1.0,retry_later,0,0.0
4804.23,card_declined,wallet,0.801,308,21,6,6,1.0,9.29,0,5.42,12,0,0,0.0,retry_later,1,4804.23
4312.63,insufficient_funds,card,0.637,342,18,6,5,0.8333333333333334,6.79,0,19.95,18,3,2,0.6666666666666666,retry_now,1,4312.63
2899.95,expired_card,card,0.946,856,20,1,1,1.0,36.58,3,14.59,9,0,0,0.0,retry_later,0,0.0
13296.1,network_error,card,0.669,984,14,3,2,0.6666666666666666,17.15,3,96.0,15,1,0,0.0,request_alternative_payment,0,0.0
4418.56,insufficient_funds,card,0.821,855,20,3,2,0.6666666666666666,31.79,3,43.51,7,3,2,0.6666666666666666,request_alternative_payment,1,4418.56
