feature_set,feature_count,C,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_brier,train_roc_auc,train_cv_gap,roc_auc_std
all_features,38,0.01,0.7700833333333332,0.788137056885143,0.9414954046199439,0.8580105325238687,0.7671096680595142,0.892291792636158,0.15850693641325653,0.7728933401848124,0.005783672125298178,0.005372398457804352
all_features,38,0.03,0.7711666666666667,0.7921453251403024,0.9352833312597498,0.8577777786082177,0.7678619732915107,0.8926509031954233,0.158177514310549,0.7754147269415897,0.007552753650079014,0.0062450536958270925
all_features,38,0.1,0.7708333333333334,0.793806607583162,0.931330315471804,0.8570769682874906,0.7674924212575605,0.8923444210869651,0.15834172799562657,0.7767163135454175,0.009223892287857027,0.006669013960858321
all_features,38,0.3,0.77075,0.7943560005274743,0.93008801564439,0.8568669418239553,0.7670179018631921,0.8920144005274485,0.15852037204463568,0.7774848606164318,0.010466958753239775,0.006757041549744076
all_features,38,1.0,0.7708333333333334,0.7947137174872013,0.9295232991032549,0.8568339329238526,0.7665938322953364,0.8914740038476257,0.15868683381750362,0.7781749431591554,0.011581110863818966,0.0068000917767735555
all_features,38,3.0,0.7704166666666667,0.7945569523759385,0.9290715769124024,0.8565517137847198,0.7660365518957569,0.8907129305422258,0.158832104273622,0.7785124238561266,0.0124758719603697,0.006827989276929496
reduced_features,37,0.01,0.7703333333333333,0.7883593965701202,0.9414955322250826,0.8581422319410393,0.7671600952344807,0.8923628796610641,0.15850210452724162,0.7728677265980952,0.005707631363614518,0.005354310670996839
reduced_features,37,0.03,0.7709166666666667,0.7922537303843227,0.9346057479734708,0.857554868070155,0.7678309057377071,0.8926228795262855,0.1581720072228146,0.7753914696511797,0.0075605639134725955,0.006123319306403935
reduced_features,37,0.1,0.7715833333333333,0.7942105167089804,0.9318953510257858,0.8575498589589168,0.7674891849480259,0.8923657352472156,0.15832917111900163,0.7766657840032483,0.00917659905522239,0.006578129206680216
reduced_features,37,0.3,0.7717499999999999,0.7949948951040893,0.9306529873958025,0.8574757938205563,0.766999771648001,0.8919947717815127,0.15851484420225387,0.7774580807941316,0.010458309146130551,0.006728618915460925
reduced_features,37,1.0,0.7717499999999999,0.7951050865041218,0.930427126300376,0.8574442563686591,0.7666678028854976,0.8915147568043947,0.15866419240947824,0.7781291593271504,0.011461356441652804,0.006753147914611481
reduced_features,37,3.0,0.7719166666666666,0.7953139784426309,0.9303143233578016,0.8575176997986871,0.7661255610265103,0.8908419723934999,0.1588104248982633,0.7785116060423615,0.012386045015851166,0.006840196466971887
