threshold,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
0.3,0.758,0.7560220233998624,0.9923215898825655,0.858203125,77,709,17,2197
0.31,0.7596666666666667,0.7576803589920608,0.9914182475158085,0.8589317159068676,84,702,19,2195
0.32,0.76,0.758477508650519,0.990063233965673,0.8589341692789969,88,698,22,2192
0.33,0.7606666666666667,0.7597222222222222,0.988256549232159,0.8590498625834315,94,692,26,2188
0.34,0.7623333333333333,0.7615894039735099,0.9869015356820234,0.8597285067873304,102,684,29,2185
0.35,0.764,0.7634709587123862,0.985546522131888,0.860410094637224,110,676,32,2182
0.36,0.7666666666666667,0.7656140350877193,0.985546522131888,0.8617693522906793,118,668,32,2182
0.37,0.7676666666666667,0.7673598872047938,0.9832881662149955,0.8620075232627202,126,660,37,2177
0.38,0.768,0.7680084745762712,0.9823848238482384,0.8620689655172413,129,657,39,2175
0.39,0.7693333333333333,0.7702414772727273,0.9796747967479674,0.8624254473161034,139,647,45,2169
0.4,0.7706666666666667,0.7717236467236467,0.9787714543812105,0.8630027877339705,145,641,47,2167
0.41,0.77,0.7725321888412017,0.975609756097561,0.8622754491017964,150,636,54,2160
0.42,0.7733333333333333,0.7768953068592058,0.971996386630533,0.8635634028892456,168,618,62,2152
0.43,0.7766666666666666,0.780319535221496,0.9706413730803974,0.8651368760064412,181,605,65,2149
0.44,0.7803333333333333,0.7840701497990501,0.969286359530262,0.8668955766511816,195,591,68,2146
0.45,0.7816666666666666,0.7871086556169429,0.9652213188798555,0.867113004666261,208,578,77,2137
0.46,0.7796666666666666,0.7872733999260081,0.9611562782294489,0.8655684360382347,211,575,86,2128
0.47,0.7813333333333333,0.7898065476190477,0.9588979223125564,0.8661770705834353,221,565,91,2123
0.48,0.7806666666666666,0.7911676646706587,0.95483288166215,0.8653295128939829,228,558,100,2114
0.49,0.782,0.7943396226415095,0.9507678410117435,0.8655427631578947,241,545,109,2105
0.5,0.781,0.7963456414160639,0.9448961156278229,0.8642842387936377,251,535,122,2092
0.51,0.782,0.800462249614792,0.938572719060524,0.8640332640332641,268,518,136,2078
0.52,0.781,0.8020954598370198,0.9336043360433605,0.862867877269881,276,510,147,2067
0.53,0.7796666666666666,0.8041519780650216,0.9272809394760614,0.8613383679462975,286,500,161,2053
0.54,0.78,0.8071146245059289,0.9223125564588979,0.8608768971332209,298,488,172,2042
0.55,0.7786666666666666,0.8092577813248204,0.9159891598915989,0.8593220338983051,308,478,186,2028
0.56,0.777,0.81136638452237,0.9092140921409214,0.8575079872204473,318,468,201,2013
0.57,0.777,0.8151774785801713,0.9024390243902439,0.8565916398713826,333,453,216,1998
0.58,0.7743333333333333,0.816125051419169,0.8961156278229448,0.8542518837459634,339,447,230,1984
0.59,0.772,0.8192821368948247,0.8866305329719963,0.8516268980477223,353,433,251,1963
0.6,0.772,0.8238780694326842,0.8789521228545619,0.8505244755244755,370,416,268,1946
0.61,0.7706666666666667,0.8285960378983634,0.8690153568202349,0.8483245149911817,388,398,290,1924
0.62,0.768,0.8320209973753281,0.8590785907859079,0.8453333333333334,402,384,312,1902
0.63,0.7656666666666667,0.8353306702174877,0.8500451671183379,0.8426236847996418,415,371,332,1882
0.64,0.7586666666666667,0.8367992766726944,0.8360433604336044,0.8364211477632173,425,361,363,1851
0.65,0.755,0.8396876435461644,0.8256549232158988,0.8326121612388977,437,349,386,1828
0.66,0.7506666666666667,0.842843779232928,0.8139114724480578,0.828125,450,336,412,1802
0.67,0.746,0.8460438512869399,0.8017163504968383,0.8232838589981447,463,323,439,1775
0.68,0.7426666666666667,0.8489835430784124,0.7922312556458898,0.819626168224299,474,312,460,1754
0.69,0.7373333333333333,0.852970297029703,0.7782294489611563,0.8138875767595655,489,297,491,1723
0.7,0.731,0.8565636087176888,0.7633242999096658,0.8072605684260807,503,283,524,1690
0.71,0.7266666666666667,0.8607660455486542,0.7511291779584462,0.8022190062711047,517,269,551,1663
0.72,0.717,0.863225119744545,0.7326106594399278,0.7925726850720742,529,257,592,1622
0.73,0.711,0.8654367878459034,0.7204155374887082,0.7862952920877496,538,248,619,1595
0.74,0.7043333333333334,0.8717086834733894,0.7028003613369467,0.7781945486371593,557,229,658,1556
0.75,0.6976666666666667,0.8757906843013226,0.6878952122854561,0.7705540096129522,570,216,691,1523
0.76,0.689,0.8801186943620178,0.6698283649503162,0.7607078738137985,584,202,731,1483
0.77,0.683,0.8848263254113345,0.6558265582655827,0.7533073929961089,597,189,762,1452
0.78,0.671,0.8895238095238095,0.6327913279132791,0.7395091053048297,612,174,813,1401
0.79,0.6606666666666666,0.8939393939393939,0.6129177958446251,0.7272240085744909,625,161,857,1357
0.8,0.6506666666666666,0.8987688098495212,0.5934959349593496,0.7149075081610446,638,148,900,1314
