probability_bin,samples,predicted_probability,actual_recovery_rate
"(-0.001, 0.1]",4,0.08107772718457151,0.0
"(0.1, 0.2]",23,0.14725885965181862,0.13043478260869565
"(0.2, 0.3]",67,0.2513000645829424,0.208955223880597
"(0.3, 0.4]",98,0.3517981586182084,0.30612244897959184
"(0.4, 0.5]",181,0.45139911588847037,0.4143646408839779
"(0.5, 0.6]",265,0.5526093000576602,0.5509433962264151
"(0.6, 0.7]",389,0.6516196765548886,0.6580976863753213
"(0.7, 0.8]",511,0.7527965554408642,0.735812133072407
"(0.8, 0.9]",734,0.853125460657661,0.8651226158038147
"(0.9, 1.0]",728,0.9398976465325448,0.9326923076923077
